word,half_a,half_b,zipf_a,zipf_b
airbag,air,bag,5.37,4.79
airhockey,air,hockey,5.37,4.42
airplane,air,plane,5.37,4.72
anthill,ant,hill,3.86,4.82
appointment,app,ointment,4.86,2.98
armbar,arm,bar,4.73,4.94
assistant,assist,ant,4.42,3.86
ballpoint,ball,point,5.04,5.54
barcode,bar,code,4.94,5.08
baseball,base,ball,5.05,5.04
basketball,basket,ball,4.07,5.04
battleship,battle,ship,4.94,4.93
bedrock,bed,rock,5.07,5.03
bellbottom,bell,bottom,4.59,4.84
biosphere,bio,sphere,4.07,3.91
birthday,birth,day,4.77,5.95
blackbeard,black,beard,5.46,4.07
bluebell,blue,bell,5.13,4.59
bluetooth,blue,tooth,5.13,4.08
bowhead,bow,head,4.3,5.51
bowline,bow,line,4.3,5.49
breadline,bread,line,4.5,5.49
breakdance,break,dance,5.18,4.93
breakfast,break,fast,5.18,5.13
breakwater,break,water,5.18,5.52
broadcast,broad,cast,4.53,4.79
broadhead,broad,head,4.53,5.51
broadsword,broad,sword,4.53,4.37
bubblegum,bubble,gum,4.16,3.94
bullseye,bulls,eye,3.97,5.02
butterfly,butter,fly,4.4,4.75
campfire,camp,fire,4.79,5.3
carpenter,carp,enter,3.18,4.81
carpentry,carp,entry,3.18,4.67
catfish,cat,fish,4.78,4.9
chalkboard,chalk,board,3.69,5.24
checkmate,check,mate,5.31,4.55
cheesecake,cheese,cake,4.57,4.53
chinstrap,chin,strap,4.0,3.79
clownfish,clown,fish,3.93,4.9
compassion,compass,ion,3.74,4.15
copperhead,copper,head,4.27,5.51
copyright,copy,right,4.77,5.96
counteroffer,counter,offer,4.56,5.05
crossbow,cross,bow,5.0,4.3
crossexam,cross,exam,5.0,4.26
crosswalk,cross,walk,5.0,5.08
cryptocurrency,crypto,currency,3.6,4.37
cupcake,cup,cake,5.11,4.53
deadline,dead,line,5.19,5.49
deepfrost,deep,frost,5.05,3.95
donkey,don,key,4.6,5.12
doorbell,door,bell,5.08,4.59
downfall,down,fall,5.88,5.13
dragonfly,dragon,fly,4.41,4.75
dragonfruit,dragon,fruit,4.41,4.57
drawbridge,draw,bridge,4.81,4.77
dustbowl,dust,bowl,4.41,4.63
dustpan,dust,pan,4.41,4.39
earrings,ear,rings,4.43,4.33
facebook,face,book,5.45,5.43
finland,fin,land,3.7,5.22
firefly,fire,fly,5.3,4.75
firewall,fire,wall,5.3,5.04
firewood,fire,wood,5.3,4.78
floatplane,float,plane,3.94,4.72
foxglove,fox,glove,4.66,3.73
goldenrod,golden,rod,4.67,4.14
goldfish,gold,fish,5.17,4.9
greenhouse,green,house,5.13,5.71
haircare,hair,care,5.08,5.56
