metric,value
snapshot_file,база-слов.sqlite
audited_at_utc,2026-07-31T09:58:17+00:00
integrity_check,ok
foreign_key_violations,0
schema_user_version,0
words_total,10005
words_playable_non_rejected,9945
words_normal_tier_approved_or_alternative,8345
words_hard_only_without_normal_link,1600
words_without_any_approved_link,2963
categories_total,1092
themes_total,58
memberships_total,17550
senses_total,549
words_with_senses,222
generation_runs,0
memberships_with_nonempty_risk_flags,0
fit_score_equal_0_97,17489
fit_score_distinct_values,10
null_familiarity_words,26
null_familiarity_approved_memberships,20
hard_only_with_obviousness_ge_0_80,355
hard_only_with_familiarity_ge_0_60,457
long_labels_gt_15_chars,105
multiword_entries,1597
memberships_alternative,6032
memberships_approved,8954
memberships_hard_only,2503
memberships_rejected,61
multi_category_words_all_links,3456
multi_category_words_playable_links,3455
categories_zero_approved,249
categories_lt_4_approved,276
categories_lt_4_normal_pool,34
categories_lt_8_normal_pool,117
categories_lt_12_playable,61
categories_majority_hard_only_playable_denominator,88
categories_majority_hard_only_total_denominator,86
categories_zero_normal_pool,13
flags_reported_majority_hard_categories,60
flags_actual_majority_hard_categories,86
flags_missing_majority_hard_categories,26
ambiguous_memberships_missing_sense_id,96
ambiguous_words_affected,18
high_reuse_words_without_senses,736
aggressive_normalization_collision_groups,8
category_pairs_with_4plus_shared_playable_words,516
categories_in_4plus_overlap_pair,526
proper_noun_multi_category_words_without_senses,422
proper_noun_flagged_but_all_lowercase,90
rejected_only_words,60
