word,zipf,in_top50k,levels_used
3d printer,3.93,1,35
8-Ball,4.91,0,159
Building Materials,4.78,0,17
Constellation,3.37,0,70
Hershey’s,2.49,0,165
Programming Language,4.37,0,74
Status,4.87,0,165
Supplement,4.03,0,17
aaa,3.77,1,97
abacus,2.65,1,194
abduction,3.43,1,83
abhor,2.64,1,150
above,5.2,1,152
abrams,3.39,1,145
abs,3.86,1,174
absurd,3.95,1,179
abuja,3.15,1,81
abyss,3.4,1,45 77 128 179
acadia,2.72,1,123
accent,4.14,1,68
acceptance,4.16,1,148
access,5.05,1,38
accordion,3.09,1,96
account,5.21,1,18
achilles,3.47,1,99 142
acid,4.45,1,35 55
acorn,3.08,1,155
acoustic,3.98,1,11
acrobat,2.72,1,17 40 104
acrobatics,2.75,1,147
acrylic,3.42,1,48 150
action,5.25,1,19 145 169
actor,4.65,1,8 70 87 198
actors,4.4,1,23
acute,4.0,1,186
adagio,2.5,0,183
addis ababa,2.96,1,81
addition,5.01,1,64 110
address,4.91,1,82 134 150 168
adelie,1.8,0,71 183
adjective,3.34,1,146
admiral,4.0,1,66
admission,4.15,1,19 38 186
admit,4.58,1,138
adrenaline,3.52,1,68
adult,4.8,1,9 39 126 164
advanced,4.71,1,198
adventure,4.46,1,157 193
adverb,2.55,1,146
advertise,3.66,1,195
aegean,2.93,1,50 105
aerobics,2.75,1,118
affection,3.92,1,134
affogato,1.36,0,164
africa,4.92,1,7 42 172 190
afterburner,2.23,0,78
afterimage,1.78,0,188
agate,2.81,1,128
agave,2.74,1,105
age,5.32,1,199
agent,4.81,1,184
agile,3.41,1,114
aglet,1.32,0,4
agreement,4.88,1,197
ai,4.23,1,81
aikido,2.67,1,63
aim,4.51,1,79
air,5.37,1,25 49 52 54 83 112 118 150 167 173
air fryer,2.99,1,90
airbag,2.88,1,77 151 174
airhockey,0.0,0,159
airplane,3.92,1,15 103 120
airport,4.84,1,39
ak-47,3.7,0,130
al pastor,4.08,1,154
aladdin,3.16,1,170
alarm,4.28,1,44 107 125 139 171 174
albumen,2.05,0,136
alcatraz,2.79,1,195
alcohol,4.61,1,150
alert,4.33,1,107
alfalfa,2.82,1,162
algae,3.54,1,148
algebra,3.77,1,196
algeria,3.62,1,49
alibi,3.1,1,134 137
alice,4.26,1,58
alien,4.29,1,81 83
allegro,2.71,1,183
allele,2.91,1,196
allergist,2.11,0,16
alligator,3.32,1,135
almond,3.53,1,5 17 23 94 170
aloe,3.06,1,89 105
alpaca,2.8,1,77 126
alpha,4.25,1,78 84 122 199
alps,3.56,1,6 18 82
altar,3.8,1,73 163 176
altimeter,2.48,0,196
altitude,3.92,1,68 180
alto,3.47,1,187
am,5.78,1,62
amazon,4.55,1,32 52 83 109
amber,3.97,1,90 171
amble,2.3,0,167
ambulance,4.06,1,94
americano,2.65,1,5 38 88 164
americas,3.74,1,7
amino acid,3.72,1,112
ammonia,3.36,1,154 194
amoeba,2.64,1,156
amphibian,2.72,1,8
amphibians,2.94,1,51
amplifier,3.45,1,72
amulet,2.99,1,128
amusement park,3.74,1,142 164
anaconda,2.97,1,171
anagram,2.67,1,24 52 125
analog,3.73,1,96 176
analysis,4.91,1,121
analyze,3.84,1,184 198
anarchy,3.52,1,199
anchor,4.02,1,71 148 158
anchoring,2.97,1,164
ancient,4.68,1,111 149 155 179
andante,2.25,0,183
andes,3.14,1,6 18 82 100 186
android,4.42,1,43 81 196
andromeda,3.18,1,192
anemometer,1.87,0,98
anemone,2.56,1,86 148
angel,4.45,1,67 114 147
anger,4.42,1,55 60 91 148 184
angle,4.38,1,146
anglerfish,1.61,0,45
angles,3.9,1,179
angry,4.66,1,10 35 126
angus,3.63,1,9
animation,4.18,1,70
anime,4.26,1,132
anne bonny,2.84,1,99
anniversary,4.53,1,73 195 199
answer,5.17,1,180
ant,3.86,1,5 89 173 180 189
antarctica,3.53,1,124
antenna,3.77,1,43 62 69 124
antennae,3.01,1,123
anthem,3.91,1,95
anthill,2.01,0,182
anthology,3.48,1,198
antibiotic,3.5,1,16
antibody,3.46,1,127
apache,3.54,1,67
apartment,4.65,1,85
aperture,3.47,1,190
apocalypse,3.71,1,92
apollo,3.82,1,108 153 157 188 191
app,4.86,1,35 112
appeal,4.67,1,187
appetizer,2.86,1,18 62 94 158 176
apple,4.76,1,2 27 30 138
appointment,4.49,1,159
appreciate,4.74,1,133 157
apricot,2.98,1,17
april,5.19,1,53
apron,3.36,1,78 152
aquamarine,2.51,0,128
aquarium,3.56,1,66 164 191
arabian,3.53,1,151
arabic,4.03,1,165
arabica,2.42,0,42
arachnid,2.31,0,189
aragorn,2.65,1,65
aral,2.39,0,58
aramaic,2.85,1,175
arc,4.21,1,179
arcade,3.73,1,24
arch,4.02,1,149 170
archaic,3.36,1,149
archer,3.81,1,33
archery,3.25,1,13 100 130
architect,4.08,1,17
arctic,4.03,1,32 100 141 177
arena,4.33,1,38 97
argentina,4.22,1,59 97
argon,2.86,1,52
argument,4.64,1,181
aria,3.39,1,65
arial,2.34,0,153 180
ariana grande,3.15,1,180
aries,3.13,1,63 110 139
aristotle,3.41,1,41
arithmetic,3.4,1,186
arizona,4.38,1,85
arm,4.73,1,138 168 175
armbar,2.24,0,174
armor,3.97,1,29 47 56 143 154
armored vehicle,3.62,1,56
aroma,3.23,1,125 156 162 189
arrogance,3.55,1,157
arrow,4.13,1,33 100 130
art,5.29,1,3 49 64 75
artemis,3.05,1,108 191
arteries,3.46,1,157
artery,3.65,1,46 55 111
article,5.09,1,44 110 158 189
artifact,3.41,1,23 119
artist,4.8,1,26 124 132 198
arts & crafts,0.0,0,98
asgard,2.8,1,52
ash,4.16,1,6 47 82 101 186
ashes,3.93,1,199
asia,4.65,1,7 42 172
aslan,2.7,1,65
asp,3.05,1,93
aspect,4.41,1,171
aspirin,3.34,1,94
assay,3.28,1,152
assist,4.42,1,81
assistant,4.72,1,67
aster,2.81,1,16
asteroids,3.2,1,140 173
astronaut,3.6,1,81 145
astronomy,3.63,1,49 64 65 110
asylum,3.99,1,151
athena,3.25,1,153
athletics,3.82,1,164
atlantic,4.39,1,32 141
atlantis,3.43,1,84 136 148 183
atmosphere,4.46,1,118 140 180
atoll,2.85,1,148
atom,3.72,1,35 73 103
attic,3.63,1,63 194
auckland,3.7,1,120
audience,4.73,1,196
auditorium,3.51,1,77
august,5.1,1,12 119
aunt,4.16,1,106
aurora,3.73,1,26 33 40 49 141 158 163 181
austen,3.3,1,155
austin,4.36,1,28 67
australia,5.06,1,42 64 172
austria,4.07,1,16
author,4.95,1,35 190
autobahn,2.49,0,91
automation,3.8,1,43 196
autumn,4.26,1,125
avatar,3.69,1,165
avocado,3.45,1,21 58
award,4.88,1,140
axe,3.79,1,10 130
axolotl,2.02,0,60 121
aztec,3.1,1,100
azure,3.35,1,66
baboon,2.73,1,198
baby,5.26,1,9 39 167
babylon,3.54,1,41 45 84 135 140
bach,3.53,1,31
bachata,2.29,0,85
backpack,3.78,1,57 148 197
backstroke,2.65,1,42 164
bacon,4.15,1,10 39 89 115
bacteria,4.19,1,113 155 156 195
badminton,3.28,1,59 149 177
bag,4.79,1,111
bagel,3.18,1,8
baggage,3.74,1,148
baggage claim,3.74,1,39
baguette,2.82,1,14 72 91
bahamas,3.53,1,128
baikal,2.42,0,58
bait,3.85,1,74 99 103 128
bake,3.91,1,27 36
bakery,3.67,1,189
baking,3.92,1,144
baklava,2.36,0,77
balance,4.76,1,60 100 125
balcony,3.78,1,63
bald,3.83,1,142
bali,3.69,1,18 45 128
ball,5.04,1,3 13 76 98 100 107 161 177 180 190
ballad,3.42,1,188
ballerina,3.1,1,72
ballet,3.95,1,9 72 85
balloon,3.9,1,40 71 83 176
balloons,3.66,1,27 97 145
ballot,4.06,1,36 172
ballpoint,2.53,0,152
balm,3.25,1,152
baloo,2.34,0,107
balrog,2.11,0,170
balsamic,2.74,1,114 156
baltic,3.57,1,50 105 160
bamboo,3.65,1,31
banana,4.0,1,2 30
band,4.92,1,101 138
bangs,3.45,1,168
bank,5.16,1,47 69 185
banksy,2.78,1,148
banners,3.6,1,164
bao,3.13,1,156
bar,4.94,1,152 174
barbacoa,1.87,0,154
barbara,4.2,1,166
barber pole,3.81,1,78
barcelona,4.23,1,65 97 137
barcode,2.89,1,138
bargaining,3.64,1,148
barge,3.5,1,7
barista,3.02,1,42
baritone,2.98,1,40
bark,3.85,1,6 9 34 127 170
barley,3.49,1,11 89 146
barn,3.99,1,31 89 187
barometer,3.18,1,98 135
baron,3.88,1,134
barracuda,2.78,1,34
barrel,4.17,1,140
bartender,3.5,1,150
barter,3.05,1,142
basalt,3.02,1,80 127
base,5.05,1,123 172
base pair,4.72,1,177
baseball,4.54,1,11
basement,4.18,1,63 194
basil,3.65,1,76
basilica,3.08,1,183
basilisk,2.42,0,170
basin,4.08,1,154
basket,4.07,1,20 66 95 134 147
basketball,4.56,1,11 59 122 164 192
bass,4.28,1,11 12 101 138 151 187
bassinet,2.27,0,134
bassoon,2.53,0,120 129
bastille,3.04,1,195
bat,4.3,1,32 40 51 68 79 117 134 153 190
bathrobe,2.68,1,26
bathroom,4.54,1,14 112
bathtub,3.45,1,197
batman,4.22,1,135 170 175
battalion,3.81,1,117 149
batter,3.56,1,11
battery,4.52,1,97 112 167 191
battle,4.94,1,99 143
battleship,3.15,1,171
bay,4.73,1,138
beach,4.92,1,57 79
beacon,3.74,1,166 195
